n,concept_en,fur,lij,lmo,sc,scn,vec,ita,fra,spa,cat,por,oci,deu,eng,slv,hrv,hun
23_f,two (f),dôs*,dôe*,düü,duos,dui,do,due,deux,dos,dues,duas,doas,zwo,two,dve,dva,kettő
24,three,trê,tréi*,trii,tres,tri,tre,tre,trois,tres,tres,três,tres,drei,three,tri,tri,három
25,four,cuatri,quàttro,quater,battor,quattru,cuatro,quattro,quatre,cuatro,quatre,quatro,quatre,vier,four,štiri,četiri,négy
26,five,cinc,çìnque,ciinch,chimbe,cincu,zinque,cinque,cinq,cinco,cinc,cinco,cinc,fünf,five,pet,pet,öt
27,big,grant,grànde,graant,mannu,granni,grando,grande,grand,grande,gros,grande,bèl,groß,big,velik,velik,nagy
28,long,lunc,lóngo,luunch,longu,longu,longo,lungo,long,largo,llarg,longo,long,lang,long,dolg,dug,hosszú
29,wide,larc,làrgo,laarch,làrgu,largu,largo,largo,large,ancho,ample,largo,larg,breit,wide,širok,širok,széles
30,thick,penç,drûo,èrtegh,ispìssu,nfutu,groso,spesso,gros,grueso,gruixut,grosso,espés,dick,thick,debel,debeo,vastag
31,heavy,pesant,pezànte,gréef,pesante,pisanti,pesanto,pesante,lourd,pesado,pesat,pesado,pesuc,schwer,heavy,težek,težak,nehéz
32,small,piçul,picìn,pinìn,pitzinnu,nicu,picio,piccolo,petit,pequeño,petit,pequeno,pichòt/pichon,klein,small,majhen,mali,kis
33,short,curt,cùrto,cüürt,curtu,curtu,corto,corto,court,corto,curt,curto,cort,kurz,short,kratek,kratak,rövid
34,narrow,stret,stréito,stréeng,istrintu,strittu,strento,stretto,étroit,estrecho,estret,estreito,estrech,eng,narrow,ozek,uzak,szűk
35,thin,fin,sotî,fin,suttile,màguru,magro,sottile,maigre,delgado,prim,magro,fin,dünn,thin,tanek,tanak,vékony
36,woman,femine,dònna,dòna,femina,fìmmina,dona,donna,femme,mujer,dona,mulher,femna,Frau,woman,ženska,žena,nő
37,man (adult male),om,òmmo,óm,omine,omu,omo,uomo,homme,hombre,home,homem,òme,Mann,man,moški,muškarac,férfi
38,man (human being),persone,persónn-a,persóna,persona,omu,omo,persona,humain,humano,humà,humano,òme,Mensch,man,človek,čovek,ember
39,child,frut,figeu,bagaj,pitzinnu,picciriḍḍu,mulo,bambino,enfant,niño,nen,criança,enfant,Kind,child,otrok,dete,gyerek
40,wife,femine,mogê,miée,pobidda,mugghieri,mujer,moglie,épouse,esposa,esposa,mulher,esposa,Frau,wife,žena,žena,feleség
41,husband,marît,màio,marii,maridu,maritu,omo,marito,mari,marido,marit,marido,espós,Mann,husband,mož,muž,férj
42,mother,mari,moæ,mamm,mama,matri,mare,madre,mère,madre,mare,mãe,maire,Mutter,mother,mati,mati,anya
43,father,pari,poæ,pà,babbu,patri,pare,padre,père,padre,pare,pai,paire,Vater,father,oče,otac,apa
44,animal,animâl,animâ,bèstia,animale,armalu,bestia,animale,animal,animal,animal,animal,animal,Tier,animal,žival,životinja,állat
45,fish,pes,péscio,pèss,pische,pisci,pese,pesce,poisson,pez,peix,peixe,peis,Fisch,fish,riba,riba,hal
46,bird,ucel,öxéllo,üsèl,puzone,aceḍḍu,usel,uccello,oiseau,ave,ocell,ave,aucèl,Vogel,bird,ptič,ptica,madár
47,dog,cjan,càn,caŋ,cane,cani,can,cane,chien,perro,gos,cão,gos,Hund,dog,pes,pas,kutya
48,louse,pedoli,pighéuggio,piöcc,peugu,pidocchiu,pedocio,pidocchio,pou,piojo,poll,piolho,pesolh,Laus,louse,uš,uš,tetű
49,snake,serpint,serpénte,biss,serpente,sirpenti,bisa,serpente,serpent,serpiente,serp,serpe,sèrp,Schlange,snake,kača,zmija,kígyó
50,worm,vier,verme,giuanìŋ,berme,vermi,verme,verme,ver,gusano,cuc,verme,vèrm,Wurm,worm,črv,crv,féreg
51,tree,arbul,èrbo,piànta,alvure,chianta,pianta,albero,arbre,árbol,arbre,árvore,aubre,Baum,tree,drevo,drvo,fa
52,forest,bosc,bosco,busch,buscu,voscu,bosco,foresta,forêt,bosque,bosc,floresta,bòsc,Forst,forest,gozd,šuma,erdő
53,stick,baston,bacco,bastùŋ,bastone,vastuni,baston,bastone,bâton,palo,bastó,bastão,baston,Stock,stick,palica,štap,bot
54,fruit,pome,frûta,früt,frutta,fruttu,fruto,frutta,fruit,fruto,fruit,fruto,fruch,Frucht,fruit,plod,voće,gyümölcs
55,seed,samence,armella,soménza,semene,simenza,seme,seme,semence,semilla,llavor,semente,semen,Samen,seed,seme,seme,mag
56,leaf,fuee,féuggia,föja,foza,fogghia,foja,foglia,feuille,hoja,fulla,folha,fuèlha,Blatt,leaf,list,list,levél
57,root,lidrîs,réixe,sciocch,raighina,ràdica,radise,radice,racine,raíz,arrel,raiz,rasiga,Wurzel,root,koren,koren,gyökér
58,bark (of a tree),scuarce,scorsa,scòrza,iscortza,scorcia,scorza,corteccia,écorce,corteza,escorça,casca,rusca,Borke,bark,skorja,kora,kéreg
59,flower,flôr,sciô,fiuur,flore,ciuri,fior,fiore,fleur,flor,flor,flor,flor,Blume,flower,roža,cvet,virág
60,grass,jerbe,erba,èrba,erva,erba,erba,erba,herbe,hierba,herba,erva,èrba,Gras,grass,trava,trava,fű
61,rope,cuarde,corda,còrda,corda,corda,corda,corda,corde,cuerda,corda,corda,còrda,Leine,rope,vrv,uže,kötél
62,skin,piel,pelle,pèll,pedde,peḍḍi,pele,pelle,peau,piel,pell,pele,pèl,Haut,skin,koža,koža,bőr
63,meat,cjar,carne,càrna,petta,carni,carne,carne,chair,carne,carn,carne,carn,Fleisch,meat,meso,meso,hús
64,blood,sanc,sàngoe,sàanch,sambene,sangu,sangue,sangue,sang,sangre,sang,sangue,sang,Blut,blood,kri,krv,vér
65,bone,vues,osso,òss,ossu,ossu,oso,osso,os,hueso,os,osso,òs,Knochen,bone,kost,kost,csont
66,fat (noun),gras,grascia,grass,grassu,grassu,graso,grasso,gras,grasa,greix,gordura,grais,Fett,fat,maščoba,mast,háj
67,egg,ûf,êuvo,ööf,ou,ovu,ovo,uovo,œuf,huevo,ou,ovo,uòu,Ei,egg,jajce,jaje,tojás
68,horn,cuar,corno,còrnu,corru,cornu,corno,corno,corne,cuerno,banya,corno,bana,Horn,horn,rog,rog,szarv
69,tail,code,côa,cùa,coa,cuda,coda,coda,queue,cola,cua,cauda,coá,Schwanz,tail,rep,rep,farok
70,feather,plume,penna,pèna,pinna,pinna,pena,penna,plume,pluma,ploma,pluma,pluma,Feder,feather,pero,pero,toll
71,hair,cjavel,cavello,cavèj,pilos,capiḍḍu,cavel,capello,cheveu,cabello,cabell,cabelo,pel,Haar,hair,lasje,kosa,haj
72,head,cjâf,testa,coo,conca,capu,crapa,testa,tête,cabeza,cap,cabeça,cap,Haupt,head,glava,glava,fej
73,ear,orele,oêgia,urégia,orija,aricchia,recia,orecchio,oreille,oreja,orella,orelha,aurelha,Ohr,ear,uho,uho,fül
74,eye,voli,éuggio,oeugg,oju,occhiu,ocio,occhio,œil,ojo,ull,olho,uèlh,Auge,eye,oko,oko,szem
75,nose,nâs,nâzo,naas,nasu,nasu,naso,naso,nez,nariz,nas,nariz,nas,Nase,nose,nos,nos,orr
76,mouth,bocje,bocca,buca,bucca,vucca,boca,bocca,bouche,boca,boca,boca,boca,Mund,mouth,usta,usta,száj
77,tooth,dint,dente,dinc,dente,denti,dente,dente,dent,diente,dent,dente,dent,Zahn,tooth,zob,zub,fog
78,tongue (organ),lenghe,léngoa,léngua,limba,lingua,lingua,lingua,langue,lengua,llengua,língua,lenga,Zunge,tongue,jezik,jezik,nyelv
79,fingernail,ongule,ongia,üngia,ugna,ugna,ongia,unghia,ongle,uña,ungla,unha,ongla,Fingernagel,fingernail,noht,nokat,köröm
80,foot,pît,pê,pè,pe’,pedi,pie,piede,pied,pie,peu,pé,pè,Fuß,foot,noga,stopa,lábfej
81,leg,gjambe,ganba,gàmba,camba,gamma,gamba,gamba,jambe,pierna,cama,perna,camba,Bein,leg,noga,noga,láb
82,knee,zenoli,zenoggio,genoeugg,benuju,dinocchiu,genocio,ginocchio,genou,rodilla,genoll,joelho,genolh,Knie,knee,koleno,koleno,térd
83,hand,man,man,maŋ,manu,manu,man,mano,main,mano,mà,mão,man,Hand,hand,roka,ruka,kéz
84,wing,ale,âa,àla,ala,ala,ala,ala,aile,ala,ala,asa,ala,Fittich,wing,krilo,krilo,szárny
85,belly,panze,pansa,borigia,panza,panza,panza,pancia,ventre,vientre,ventre,ventre,ventre,Bauch,belly,trebuh,stomak,has
86,guts,intestin,intestin,büèl,bolloros,vureḍḍu,budela,intestino,entrailles pl,tripas pl,budells pl,tripas pl,tripa,Eingeweide,guts,drobovje,crevo,bél
87,neck,cuel,collo,còl,collu,coḍḍu,colo,collo,cou,cuello,coll,pescoço,còl,Hals,neck,vrat,vrat,nyak
88,back,schene,schénn-a,s'céna,ischina,carina,schena,schiena,dos,espalda,esquena,costas pl /,esquina,Rücken,back,hrbet,leđa,hát
89,breast,pet,pêto,pecc,pettus,pettu,peto,petto,poitrine,pecho,pit,peito,pièch,Brust,breast,prsi,grudi,mell
90,heart,cûr,cheu,cöör,coro,cori,cor,cuore,cœur,corazón,cor,coração,còr,Herz,heart,srce,srce,szív
91,liver,fiât,figæto,fidegh,fidigu,fìcatu,fedigo,fegato,foie,hígado,fetge,fígado,fetge,Leber,liver,jetra,jetra,máj
92,to drink,bevi,béive,béef,biere,vìviri,bever,bere,boire,beber,beure,beber,beure,trinken,to drink,piti,piti,iszik
93,to eat,mangjâ,mangiâ,mangià,pappare,manciari,magnar,mangiare,manger,comer,menjar,comer,manjar,essen,to eat,jesti,jesti,eszik
94,to bite,muardi,adentâ,cagnà,mordere,muzzicari,morsigar,mordere,mordre,morder,mossegar,morder,mossegar,beißen,to bite,gristi,ujesti,harap
95,to suck,supâ,susâ,sciüscià,suere,sucari,ciuciar,succhiare,sucer,chupar,xuclar,chupar,chucar,lutschen,to suck,sesati,sisati,szop
96,to spit,spudâ,spuâ,spüà,istuppiare,sputari,spudar,sputare,cracher,escupir,escopir,cuspir,escopir,speien,to spit,pljuvati,pljuvati,köp
97,to vomit,gomitâ,vomitâ,trà sù,istercorare,sbummicari,vometar,vomitare,vomir,vomitar,vomitar,vomitar,racar,brechen,to vomit,bruhati,povraćati,hány
98,to blow,soflâ,sciusciâ,boffà,buffare,ciusciari,sofiar,soffiare,souffler,soplar,bufar,soprar,bofar,blasen,to blow,pihati,duvati,fúj
99,to breathe,respirâ,respiâ,fiadà,respirare,ciatari,respirar,respirare,respirer,respirar,respirar,respirar,alenar,atmen,to breathe,dihati,disati,lélegzik
100,to laugh,ridi,rîe,ghignà,riere,rìdiri,rider,ridere,rire,reír,riure,rir,rire,lachen,to laugh,smejati se,smejati se,nevet
101,to see,viodi,védde,vedè,vìdere,vìdiri,veder,vedere,voir,ver,veure,ver,veire,sehen,to see,videti,videti,lát
102,to hear,sintî,sentî,sentì,sentire,sèntiri,sentir,sentire,entendre,oír,sentir,ouvir,ausir,hören,to hear,slišati,čuti,hall
103,to know,savê,savéi,savè,ischire,sapiri,saver,sapere,savoir,saber,saber,saber,saber,kennen,to know,vedeti,znati,tud
104,to think,pensâ,pensâ,pensà,pensare,pinzari,creder,pensare,penser,pensar,pensar,pensar,pensar,denken,to think,misliti,misliti,gondol
105,to smell,nasâ,ödoâ,spuzà,annajare,ciagurari,spuzar,odorare,sentir,oler,olorar,cheirar,sentir,riechen,to smell,vohati,njušiti,szagol
106,to fear,temi,témme,vecch pagüra,timere,scantàrisi,gaver paura,temere,craindre,temer,témer,temer,crénher,fürchten,to fear,bati se,plašiti,fél
107,to sleep,durmî,dormî,durmì,dormire,dòrmiri,dormir,dormire,dormir,dormir,dormir,dormir,dormir,schlafen,to sleep,spati,spavati,alszik
108,to live,vivi,vîve,viif,vivere,campari,viver,vivere,vivre,vivir,viure,viver,viure,leben,to live,živeti,živeti,él
109,to die,murî,moî,murì,morrere,mòriri,morir,morire,mourir,morir,morir,morrer,morir,sterben,to die,umreti,umreti,meghal
110,to kill,copâ,amasâ,mazà,occhiere,accìdiri,mazar,uccidere,tuer,matar,matar,matar,tuar,töten,to kill,ubiti,ubiti,öl
111,to fight,lotâ,conbatte,fà guèra,cumbattere,cummàttiri,lotar,combattere,lutter,luchar,lluitar,lutar,se batre,fechten,to fight,boriti se,tući,harcol
112,to hunt,cjaçâ,cacciâ,cascià,catzare,cacciari,cazare,cacciare,chasser,cazar,caçar,caçar,caçar,jagen,to hunt,loviti,loviti,vadászik
113,to hit,colpî,batte,trüssà,colpare,cafuḍḍari,bater,colpire,frapper,golpear,colpejar,golpear,trucar,schlagen,to hit,udariti,udarati,üt
114,to cut,taiâ,tagiâ,tajà,tagliare,tagghiari,tajar,tagliare,couper,cortar,tallar,cortar,talhar,schneiden,to cut,rezati,seći,vág
115,to split,dividi,dividde,spartì,dividire,spàrtiri,divider,dividere,fendre,partir,partir,partir,partir,spalten,to split,razcepiti,deliti,hasít
116,to stab,scurtissâ,cotelâ,sbögià,pugnalare,tagghiari,sbusar,pugnalare,poignarder,apuñalar,punyir,apunhalar,estocar,stechen,to stab,zabosti,ubosti,szúr
117,to scratch,sgrafâ,gratâ,sfrisà,iscarrafare,grattari,sgrafare,graffiare,gratter,rascar,rascar,rascar,rascar,kratzen,to scratch,praskati,češati,vakar
118,to dig,scavà,scavâ,scavà,iscavare,scavari,scavar,scavare,creuser,cavar,cavar,cavar,cavar,graben,to dig,kopati,kopati,ás
119,to swim,nadâ,nuâ,nudà,nadare,natari,nuotar,nuotare,nager,nadar,nedar,nadar,nadar,schwimmen,to swim,plavati,plivati,úszik
120,to fly,svolâ,xoâ,sgorà,bolare,vulari,svolar,volare,voler,volar,volar,voar,volar,fliegen,to fly,leteti,leteti,repül
121,to walk,cjaminâ,caminâ,caminà,caminare,caminari,caminar,camminare,marcher,caminar,caminar,andar,anar,gehen,to walk,hoditi,hodati,jár
122,to come,vignî,vegnî,vegnì,bennere,vèniri,vegnir,venire,venir,venir,venir,vir,venir,kommen,to come,priti,dolaziti,jön
123,to lie (as in a bed),distirâsi,destendise,stravacass giò,giacchire,curcàrisi,stravacar,distendersi,gésir,yacer,jeure,jazer,jaire,liegen,to lie,ležati,ležati,fekszik
124,to sit,sintâsi,asetâse,setass giò,sentare,assittàrisi,sentar,sedersi,s'asseoir,sentarse,asseure's,sentar,se sèire,sitzen,to sit,sedeti,sedeti,ül
125,to stand,stâ impins,stâ in piêi,vess in pee,istare in cambas,stari  â dritta,star,stare in piedi,être,estar,estar,estar,estar drech,stehen,to stand,stati,stajati,áll
126,to turn (intransitive),zirâ,gjâ,voltass,boltare,girari,girar,girare,tourner,girar,girar,girar,virar,drehen,to turn,obrniti,skrenuti,fordul
127,to fall,colâ,càzze,burlà giò,ruere,càdiri,cascar,cadere,tomber,caer,caure,cair,caire,fallen,to fall,pasti,pasti,esik
128,to give,dâ,dâ,dà,dare,dari,dar,dare,donner,dar,donar,dar,bailar,geben,to give,dati,dati,ad
129,to hold,tignî,tegnî,tegnì,tennere,tèniri,tener,tenere,tenir,tener,tenir,ter,tenir,halten,to hold,držati,držati,tart
130,to squeeze,struça,spremme,schiscià,ispremere,mùnciri,strucar,spremere,presser,apretar,estrènyer,apertar,pressar,quetschen,to squeeze,stiskati,stisnuti,sajtol
131,to rub,russâ,fretâ,strusà,frigare,stricari,fregar,strofinare,frotter,frotar,fregar,esfregar,fretar,reiben,to rub,drgniti,trljati,dörgöl
132,to wash,lavâ,lavâ,lavà,illoddiare,lavari,lavar,lavare,laver,lavar,rentar,lavar,lavar,waschen,to wash,umivati,prati,mos
133,to wipe,suiâ,sciugâ,sügà,assugare,asciucari,netar,asciugare,essuyer,restregar,eixugar,enxugar,eissugar,wischen,to wipe,brisati,brisati,töröl
134,to pull,tirâ,tiâ,tirà in scià,tirare,tirari,tirar,tirare,tirer,tirar,estirar,tirar,tirar,ziehen,to pull,vleči,vući,húz
135,to push,sburtâ,spinze,rüzà,ispinghere,ammuttari,spinger,spingere,pousser,empujar,empènyer,empurrar,butar,drücken,to push,potisniti,gurati,tol
136,to throw,lançâ,tiâ,slanzà,frundire,jittari,butar,lanciare,jeter,lanzar,llançar,lançar,lançar,werfen,to throw,vreči,baciti,hajít
137,to tie,leâ,ligâ,ligà sü,ligare,attaccari,ligar,legare,lier,atar,lligar,atar,estacar,binden,to tie,vezati,vezati,köt
138,to sew,cusî,cuxî,cüsì,cosire,cùsiri,cusire,cucire,coudre,coser,cosir,coser,coire,nähen,to sew,šivati,šiti,varr
139,to count,contâ,contâ,cüntà,contare,cuntari,contar,contare,compter,contar,comptar,contar,comptar,rechnen,to count,šteti,brojati,számol
140,to say,dî,dî,dì,narrere,cuntari,diser,dire,dire,decir,dir,dizer,dire,sagen,to say,reči,reći,mond
141,to sing,cjantâ,cantâ,cantà,cantare,cantari,cantar,cantare,chanter,cantar,cantar,cantar,cantar,singen,to sing,peti,pevati,énekel
142,to play,zuiâ,zugâ,giügà,giogare,jucari,zogar,giocare,jouer,jugar,jugar,jogar,jogar,spielen,to play,igrati,igrati,játszik
143,to float,vongolâ,galezâ,stà dessoravìa,gallizare,galliggiari,galejare,galleggiare,flotter,flotar,flotar,flutuar,flotar,schweben,to float,plavati,plutati,lebeg
144,to flow,scolâ,scorre,sculà,iscurrere,scùrriri,scolar,fluire,couler,fluir,fluir,fluir,rajar,fließen,to flow,teči,teći,folyik
145,to freeze,glaçâ,zeâ,gelà,astragare,gnilari,jazar,gelare,geler,congelar,gelar,gelar,gelar,frieren,to freeze,zamrzniti,zalediti,megfagy
146,to swell,sglonfâ,gonfiâ,sgonfià,abburvuddare,vunchiari,sgionfar,gonfiare,gonfler,hincharse,inflar,inchar-se,coflar,schwellen,to swell,oteči,oteći,dagad
147,sun,soreli,sô,suu,sole,suli,sol,sole,soleil,sol,sol,sol,solelh,Sonne,sun,sonce,sunce,nap
148,moon,lune,lùnn-a,lüna,luna,luna,luna,luna,lune,luna,lluna,lua,luna,Mond,moon,luna,mesec,hold
149,star,stele,stélla,stéla,isteddu,stiḍḍa,stela,stella,étoile,estrella,estel,estrela,estela,Stern,star,zvezda,zvezda,csillag
150,water,aghe,ægoa,aqua,abba,acqua,acua,acqua,eau,agua,aigua,água,aiga,Wasser,water,voda,voda,víz
151,rain,ploie,ægoa,pioèuva,pioza,chiuvia,piova,pioggia,pluie,lluvia,pluja,chuva,pluèja,Regen,rain,dež,dažd,eső
152,river,flum,sciùmme,fjüm,flumene,ciumi,fiume,fiume,fleuve,río,riu,rio,riu,Fluss,river,reka,reka,folyó
153,lake,lâc,lâgo,laach,lagu,lacu,lago,lago,lac,lago,llac,lago,lac,See,lake,jezero,jezero,tó
154,sea,mâr,mâ,maar,mare,mari,mar,mare,mer,mar,mar,mar,mar,Meer,sea,morje,more,tenger
155,salt,sâl,sâ,saa,sale,sali,sal,sale,sel,sal,sal,sal,sal,Salz,salt,sol,sol,só
156,stone,piere,prîa,sass,pedra,petra,piera,sasso,pierre,piedra,pedra,pedra,pèira,Stein,stone,kamen,kamen,kő
157,sand,savalon,ænn-a,gèra,rena,rina,rena,sabbia,sable,arena,sorra,areia,sabla,Sand,sand,pesek,pesak,homok
158,dust,polvar,pûa,pùlvura,pruine,pùrbiri,polvere,polvere,poussière,polvo,pols,pó,polvèra,Staub,dust,prah,prah,por
159,earth,tiere,tæra,tèra,terra,munnu,tera,terra,terre,tierra,terra,terra,tèrra,Erde,earth,zemlja,zemlja,föld
160,cloud,nûl,nûvia,nìgula,nue,nèvula,nuvola,nuvola,nuage,nube,núvol,nuvem,nívol,Wolke,cloud,oblak,oblak,felhő
161,fog,fumate,nêgia,nèbia,neula,negghia,caligine,nebbia,brume,niebla,boira,névoa,bruma,Nebel,fog,megla,magla,köd
162,sky,cîl,çê,cél,chelu,celu,cel,cielo,ciel,cielo,cel,céu,cèl,Himmel,sky,nebo,nebo,ég
163,wind,vint,vento,veent,bentu,ventu,vento,vento,vent,viento,vent,vento,vent,Wind,wind,veter,vetar,szél
164,snow,nêf,néive,neef,nie,nivi,neve,neve,neige,nieve,neu,neve,nèu,Schnee,snow,sneg,sneg,hó
165,ice,glaç,giassa,giàz,ghiatzu,jelu,jazo,ghiaccio,glace,hielo,glaç,gelo,glaç,Eis,ice,led,led,jég
166,smoke,fum,fumme,fumèra,fumu,fumu,fumo,fumo,fumée,humo,fum,fumo,fum,Rauch,smoke,dim,dim,füst
167,fire,fûc,fêugo,föög,fogu,focu,fogo,fuoco,feu,fuego,foc,fogo,fuòc,Feuer,fire,ogenj,vatra,tűz
168,ash,cinise,çeine,scindra,chisina,cìnniri,cendre,cenere,cendre,ceniza,cendra,cinza,cendre,Asche,ash,pepel,pepeo,hamu
169,to burn,brusâ,brüxâ,brüsà,fogulare,abbruciari,brusar,bruciare,brûler,arder,cremar,arder,cremar,brennen,to burn,žgati,goreti,ég
170,road,strade,stradda,strada,istrada,strata,strada,strada,route,carretera,carretera,estrada,camin,Straße,road,cesta,put,út
171,mountain,montagne,montagna,muunt,monte,muntagna,monte,montagna,montagne,montaña,muntanya,montanha,montanha,Berg,mountain,gora,gora,hegy
172,red,ros,rosso,rós,ruiu,russu,roso,rosso,rouge,rojo,vermell,vermelho,roge,rot,red,rdeč,crven,piros
173,green,vert,verde,veert,birde,virdi,verde,verde,vert,verde,verd,verde,verd,grün,green,zelen,zelen,zöld
174,yellow,zâl,giâno,giàalt,grogu,giarnu,gialo,giallo,jaune,amarillo,groc,amarelo,jaune,gelb,yellow,rumen,žut,sárga
175,white,blanc,gianco,biàanch,arvu,jancu,bianco,bianco,blanc,blanco,blanc,branco,blanc,weiß,white,bel,beo,fehér
176,black,neri,néigro,négar,nieddu,nìguru,negro,nero,noir,negro,negre,negro,negre,schwarz,black,črn,crn,fekete
177,night,gnot,néutte,nòcc,notte,notti,note,notte,nuit,noche,nit,noite,nuèch,Nacht,night,noč,noć,éj
178,day,dì,giorno,dì,die,jornu,giorno,giorno,jour,día,dia,dia,jorn,Tag,day,dan,dan,nap
179,year,an,anno,aŋ,annu,annu,ano,anno,année,año,any,ano,an,Jahr,year,leto,godina,év
180,warm,cjalt,câdo,caalt,calidu,càudu,caldo,caldo,chaud,caliente,calent,quente,caud,warm,warm,topel,topao,meleg
181,cold,frêt,fréido,frecc,frittu,friddu,fredo,freddo,froid,frío,fred,frio,freg,kalt,cold,hladen,hladan,hideg
182,full,plen,pìn,piéŋ,pienu,chinu,pien,pieno,plein,lleno,ple,cheio,plen,voll,full,poln,pun,teli
183,new,gnûf,nêuvo,nööf,nou,novu,novo,nuovo,nouveau,nuevo,nou,novo,nòu,neu,new,nov,nov,új
184,old,vieli,vêgio,vécc,betzu,vecchiu,vecio,vecchio,vieux,viejo,vell,velho,vièlh,alt,old,star,star,öreg
185,good,bon,bon,bóŋ,bonu,bonu,bon,buono,bon,bueno,bo,bom,bon,gut,good,dober,dobar,jó
186,bad,trist,catîvo,catìif,malosu,malu,cativo,cattivo,mauvais adj.,malo adj.,dolent adj.,mau adj.,marrit,schlecht,bad,slab,loš,rossz
187,rotten,vuast,marso,mars,martzu,purritu,marzo,marcio,pourri,podrido,podrit,podre,poirit,faul,rotten,gnil,truo,rohadt
188,dirty,soç,sücido,tenc,isporcu,lurdu,sludro,sporco,sale,sucio,brut,sujo,lord,schmutzig,dirty,umazan,prljav,piszkos
189,straight,dret,drîto,driss,drittu,drittu,drito,dritto,droit,recto,recte,reto,drech/drèit,gerade,straight,raven,prav,egyenes
190,round,taront,rióndo,rudùund,redundu,tunnu,tondo,rotondo,rond,redondo,rodó,redondo,redond,rund,round,okrogel,obao,kerek
191,sharp (as a knife),uçât,afilòu,güz,arrodadu,affilatu,spizo,affilato,affilé,afilado,esmolat,afiado,agusat,scharf,sharp,oster,oštar,éles
192,dull (as a knife),asiât,smusòu,mucch,atturussu,smanciatu,spizato,smussato,émoussé,sin filo,esmussat,rombo,[[]],stumpf,dull,top,tup,tompa
