n,concept_en,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
122,to come,venire,venir,venir,"venir, vindre",kommen,priti,to come,vignî,vegnî,"vegnì, vegnì scià",bennere,vèniri,vegnir
123,to lie (as in a bed),"distendersi, giacere",gésir,yacer,jeure,liegen,ležati,to lie (as in a bed),distirâsi,destendise,"stravacass giò, trass là, slongass giò",giacchire,curcàrisi,stravacar
124,to sit,sedersi,s'asseoir (intrans.),sentarse (intrans.),asseure's (intrans.),sitzen,sedeti,to sit,sintâsi,asetâse,setass giò,sentare,assittàrisi,sentar
125,to stand,"stare in piedi, stare eretto",être (debout),"estar (parado/de pie), levantarse, pararse",estar (dempeus),stehen,stati,to stand,stâ impins,stâ in piêi,"vess in pee, stà sù drizz",istare in cambas,stari  â dritta,star
126,to turn (intransitive),girare,tourner,girar,"girar, tombar",drehen,obrniti,to turn (intransitive),zirâ,gjâ,"voltass, girà",boltare,"girari, firrijari",girar
127,to fall,cadere,tomber,caer,caure,fallen,pasti,to fall,colâ,càzze,burlà giò,ruere,càdiri,cascar
128,to give,dare,donner,dar,"donar, dar",geben,dati,to give,dâ,dâ,dà,dare,dari,dar
129,to hold,tenere,tenir,"tener (means also ""to have""), sostener","tenir (means also ""to have""), aguantar",halten,držati,to hold,tignî,tegnî,tegnì,tennere,tèniri,tener
130,to squeeze,spremere,"presser, comprimer","apretar, comprimir, exprimir","estrènyer, prémer",quetschen,stiskati,to squeeze,struça,spremme,schiscià,ispremere,mùnciri,strucar
131,to rub,strofinare,"frotter, frayer (obs.)","frotar, fregar",fregar,reiben,drgniti,to rub,russâ,fretâ,"strusà, gratà, fregà sù",frigare,stricari,fregar
132,to wash,lavare,laver,lavar,"rentar, netejar",waschen,umivati,to wash,lavâ,lavâ,"lavà, sgorà",illoddiare,lavari,lavar
133,to wipe,asciugare,essuyer,"restregar, enjugar",eixugar,wischen,brisati,to wipe,suiâ,sciugâ,sügà,assugare,"asciucari, astujari","netar, sugar"
134,to pull,tirare,tirer,"tirar, halar, jalar (colloq.)","estirar, tibar",ziehen,vleči,to pull,tirâ,tiâ,tirà in scià,tirare,tirari,tirar
135,to push,spingere,pousser,empujar,empènyer,"drücken, schieben","potisniti, suniti",to push,sburtâ,spinze,rüzà,ispinghere,ammuttari,spinger
136,to throw,lanciare,"jeter, lancer","lanzar, echar",llançar,werfen,vreči,to throw,lançâ,tiâ,"slanzà, trà per ari, tirà",frundire,jittari,"butar, tirar"
137,to tie,legare,lier,atar,lligar,"binden, knüpfen",vezati,to tie,leâ,ligâ,"ligà sü, fà sù",ligare,attaccari,ligar
138,to sew,cucire,coudre,coser,cosir,nähen,šivati,to sew,cusî,cuxî,cüsì,cosire,cùsiri,cusire
139,to count,contare,compter,contar,comptar,"rechnen, zählen",šteti,to count,contâ,contâ,cüntà,contare,cuntari,contar
140,to say,dire,dire,decir,dir,sagen,reči,to say,dî,dî,dì,narrere,cuntari,diser
141,to sing,cantare,chanter,cantar,cantar,singen,peti,to sing,cjantâ,cantâ,cantà,cantare,cantari,cantar
142,to play,giocare,jouer,jugar,jugar,spielen,igrati,to play,zuiâ,zugâ,giügà,giogare,jucari,zogar
143,to float,galleggiare,flotter,flotar,"flotar, surar",schweben,plavati,to float,vongolâ,galezâ,"stà dessoravìa, andà a gala, stà a gala, stà sü",gallizare,galliggiari,galejare
144,to flow,"fluire, scorrere",couler,fluir,fluir,"fließen, strömen",teči,to flow,scolâ,scorre,sculà,iscurrere,scùrriri,scolar
145,to freeze,gelare,geler,"congelar, helar","gelar, glaçar",frieren,zamrzniti,to freeze,glaçâ,zeâ,gelà,astragare,gnilari,jazar
146,to swell,gonfiare,gonfler,"hincharse (intran.), inflarse (intran.)",inflar,schwellen,oteči,to swell,sglonfâ,gonfiâ,sgonfià,abburvuddare,vunchiari,sgionfar
147,sun,sole,soleil,sol,sol,Sonne,sonce,sun,soreli,sô,suu,sole,suli,sol
148,moon,luna,lune,luna,lluna,Mond,luna,moon,lune,lùnn-a,lüna,luna,luna,luna
149,star,stella,étoile,estrella,"estel, estrella",Stern,zvezda,star,stele,stélla,stéla,isteddu,stiḍḍa,stela
150,water,acqua,eau,agua,aigua,Wasser,voda,water,aghe,ægoa,aqua,abba,acqua,acua
151,rain,pioggia,pluie,lluvia,pluja,Regen,dež,rain,ploie,ægoa,pioèuva,pioza,chiuvia,piova
152,river,fiume,"fleuve, rivière",río,riu,Fluss,reka,river,flum,sciùmme,fjüm,flumene,ciumi,fiume
153,lake,lago,lac,lago,llac,See,jezero,lake,lâc,lâgo,laach,lagu,lacu,lago
154,sea,mare,mer,mar,mar,Meer,morje,sea,mâr,mâ,maar,mare,mari,mar
155,salt,sale,sel,sal,sal,Salz,sol,salt,sâl,sâ,"saa, saal",sale,sali,sal
156,stone,"sasso, pietra",pierre,piedra,pedra,Stein,kamen,stone,piere,prîa,sass,pedra,petra,piera
157,sand,sabbia,sable,arena,"sorra, arena",Sand,pesek,sand,savalon,ænn-a,gèra,rena,rina,rena
158,dust,polvere,poussière,polvo,pols,Staub,prah,dust,polvar,pûa,pùlvura,pruine,pùrbiri,polvere
159,earth,"terra, mondo",terre,tierra,terra,Erde,zemlja,earth,tiere,tæra,tèra,terra,"munnu, terra",tera
160,cloud,nuvola,"nuage, nue",nube,núvol,Wolke,oblak,cloud,nûl,nûvia,nìgula,nue,nèvula,nuvola
161,fog,nebbia,brume,"niebla, neblina",boira,Nebel,megla,fog,fumate,nêgia,nèbia,neula,negghia,caligine
162,sky,cielo,ciel,cielo,cel,Himmel,nebo,sky,cîl,çê,cél,chelu,celu,cel
163,wind,vento,vent,viento,vent,Wind,veter,wind,vint,vento,veent,bentu,ventu,vento
164,snow,neve,neige,nieve,neu,Schnee,sneg,snow,nêf,néive,neef,nie,nivi,neve
165,ice,ghiaccio,glace,hielo,"glaç, gel",Eis,led,ice,glaç,giassa,giàz,"ghiatzu, astragu",jelu,jazo
166,smoke,fumo,fumée,humo,fum,Rauch,dim,smoke,fum,fumme,fumèra,fumu,fumu,fumo
167,fire,fuoco,feu,fuego,foc,Feuer,ogenj,fire,fûc,fêugo,föög,fogu,focu,fogo
168,ash,cenere,cendre,ceniza,cendra,Asche,pepel,ash,cinise,çeine,scindra,chisina,cìnniri,cendre
169,to burn,bruciare,brûler,"arder, quemar",cremar,brennen,žgati,to burn,brusâ,brüxâ,brüsà,fogulare,abbruciari,brusar
170,road,strada,route,"carretera, camino, vía","carretera, via",Straße,cesta,road,strade,stradda,"strada, via",istrada,strata,"strada, via"
171,mountain,montagna,"montagne, mont","montaña, monte","muntanya, mont",Berg,gora,mountain,montagne,montagna,muunt,monte,muntagna,monte
172,red,rosso,rouge,rojo,"vermell, roig",rot,rdeč,red,ros,rosso,rós,ruiu,russu,roso
173,green,verde,vert,verde,verd,grün,zelen,green,vert,verde,veert,birde,virdi,verde
174,yellow,giallo,jaune,amarillo,groc,gelb,rumen,yellow,zâl,giâno,giàalt,"grogu, giallu",giarnu,gialo
175,white,bianco,blanc,blanco,blanc,weiß,bel,white,blanc,gianco,biàanch,arvu,"jancu, viancu",bianco
176,black,nero,noir,negro,negre,schwarz,črn,black,neri,néigro,négar,nieddu,nìguru,negro
177,night,notte,nuit,noche,nit,Nacht,noč,night,gnot,néutte,nòcc,notte,notti,note
178,day,giorno,jour,día,"dia, jorn",Tag,dan,day,dì,giorno,dì,die,jornu,giorno
179,year,anno,année,año,any,Jahr,leto,year,an,anno,aŋ,annu,annu,ano
180,warm,caldo,chaud,"caliente, cálido","calent, càlid",warm,topel,warm,cjalt,câdo,caalt,calidu,càudu,caldo
181,cold,freddo,froid,frío,fred,kalt,hladen,cold,frêt,fréido,frecc,frittu,friddu,fredo
182,full,pieno,plein,lleno,ple,voll,poln,full,plen,pìn,piéŋ,pienu,chinu,pien
183,new,nuovo,nouveau,nuevo,nou,neu,nov,new,gnûf,"nêuvo, nêuo",nööf,nou,novu,novo
184,old,vecchio,vieux,viejo,vell,alt,star,old,vieli,vêgio,vécc,betzu,vecchiu,vecio
185,good,buono,bon,bueno,bo,gut,dober,good,bon,bon,bóŋ,bonu,bonu,bon
186,bad,cattivo,"mauvais adj., mal adv.","malo adj., mal adv.","dolent adj., mal adv.","schlecht, übel",slab,bad,trist,catîvo,catìif,malosu,malu,cativo
187,rotten,marcio,pourri,podrido,podrit,"faul, verrottet",gnil,rotten,vuast,marso,mars,martzu,purritu,marzo
188,dirty,sporco,sale,sucio,brut,"schmutzig, dreckig",umazan,dirty,soç,sücido,tenc,isporcu,"lurdu, nzivatu",sludro
189,straight,dritto,droit,recto,"recte, dret",gerade,raven,straight,dret,drîto,driss,drittu,drittu,drito
190,round,rotondo,rond,redondo,rodó,rund,okrogel,round,taront,rióndo,"rudùund, rudùunt",redundu,tunnu,tondo
191,sharp (as a knife),affilato,affilé,afilado,"esmolat, afilat",scharf,oster,sharp (as a knife),uçât,afilòu,güz,arrodadu,affilatu,spizo
192,dull (as a knife),smussato,émoussé,"sin filo, romo","esmussat, rom",stumpf,top,dull (as a knife),asiât,smusòu,mucch,atturussu,smanciatu,spizato
193,smooth,liscio,lisse,liso,llis,glatt,gladek,smooth,lis,lìscio,liss,liju,lisciu,lisier
194,wet,bagnato,mouillé,"húmedo, mojado","humit, mullat","nass, feucht",moker,wet,umit,bagnòu,ümit,bagnadu,moḍḍu,bagnà
195,dry,secco,sec,seco,sec,"dürr, trocken",suh,dry,sec,sécco,sech,siccu,siccu,seco
196,correct,"giusto, corretto",correct,correcto,correcte,richtig,pravilen,correct,just,giùsto,giüst,giustu,giustu,giusto
197,near,vicino,"près, proche","cerca, próximo","prop, pròxim",nah,bližnji,near,dongje,"arénte, vixìn",visìŋ,affacca,vicinu,vizin
198,far,lontano,"loin, lointain, distant","lejos, lejano, distante","lluny, llunyà, distant","fern, weit",oddaljen,far,luntano,lontàn,luntàŋ,addae,luntanu,lontan
199,right,destra,droit,derecho,dret,rechts,desni,right,drete,"drîta, dèstra",dèstra,dresta,ritta,destro
200,left,sinistra,gauche,izquierdo,esquerre,links,levi,left,çambe,"mancìnn-a, scinìstra",sinistra,manca,manca,sinistro
201,at,a,"en, à","en, a","en, a","an, bei",pri,at,a,a,"a, em",a,nne,a
202,in,in,"en, dans",en,"en, dins",in,v,in,in,in,"in, in da",in,"'n, ta",in
203,with,con,avec,con,amb,mit,"s, z",with,cun,con,con,cun,cu,con
204,and,e,et,"y, e (before /i/)",i,und,in,and,e,e,e,e,e,e
205,if,se,si,si,si,"ob, wenn","če, ako",if,se,se,se,si,si,se
206,because,perché,parce que,porque,perquè,weil,ker,because,parcè,perché,parchè,pro itte,pirchì,parché
207,name,nome,nom,nombre,nom,Name,ime,name,non,nómme,nóm,nomene,nomu,nome
